,Date,Rating,Review,UID
0,2018-10-12 13:41:13,5,I have been a patient of this practice for many years and my primary physician has been Dr. Nancy Zamora. I can't use enough superlatives about her care and...,HmoO6F3eMCgLQerW0ScBFA
1,2019-02-01 08:20:27,1,Really would not recommend. I went in for some knee pain and random chest pains (I am a 25 yr old female). They didn't' have any doctors so I had to go to a...,HmoO6F3eMCgLQerW0ScBFA
2,2018-07-19 17:36:06,4,"A very busy practice but the best I've found in the city. Ever practice in the city is busy, good or not. 

And if they're not busy, that's probably a red...",HmoO6F3eMCgLQerW0ScBFA
3,2019-03-08 10:14:24,5,"Love Dr. Ng! My entire family goes to him. He's honest, knowledgeable, and kind. It's rare to find a doctor who's both knowledgeable and has excellent bed...",dI08wWgZXUvMCQOiNxbfWg
4,2017-10-26 21:10:03,5,"I spent weeks looking for a new doctor and after reading reviews, checking insurance etc, I decided to try Dr. Ng. I just visited him for the first time and...",dI08wWgZXUvMCQOiNxbfWg
5,2017-06-13 09:12:12,5,I have been seeing Dr. Ng for several years now and can very confidently say that it has been an outstanding experience.  Not only is Dr. Ng extremely...,dI08wWgZXUvMCQOiNxbfWg
6,2019-03-13 15:57:47,5,"Dr. Ciaccia is the BEST! I adore her!! I moved to Los Angeles over a year ago, and I have not found a single doctor at her level. She was very professional,...",CmSLJ0N319rsBX8kqrE9dg
7,2018-12-05 09:00:50,5,"Dr. Ciaccia is hands-down the best doctor I've ever had. She truly treats all her patients the way she would want to be treated, and that difference in care...",CmSLJ0N319rsBX8kqrE9dg
8,2019-01-25 07:59:39,4,They do great with my son and im a happy mother every visit. No issues and they seem to actually give a fuck about their jobs. I'm happy that they do well...,CmSLJ0N319rsBX8kqrE9dg
9,2018-07-26 13:45:03,5,I was nervous AF making an appointment because I usually go to the One Medical by my home in Redwood City - and I just hate having to do the whole song and...,teQUeusTJZGLiekbpYfX-g
10,2016-12-07 09:55:01,1,"The content in my previous review is still true about One Medical; however, my opinion has changed now that I've tried four or five practitioners over about...",teQUeusTJZGLiekbpYfX-g
11,2018-03-14 20:29:08,1,"Dr. Korah was perhaps one of the most frustrating providers I've ever dealt with.  Regretfully, because I had a HMO and it was a mid-year provider switch, I...",teQUeusTJZGLiekbpYfX-g
12,2017-10-02 18:34:37,5,"Dr. Bucher is one of the most thoughtful,professional,and thorough
Doctors.When you're with him,you feel as if you are his only patient.
His staff and he...",Uo95xcYmCJ0-dNMSzimniA
13,2016-12-13 10:40:34,5,Gary was my personal physician for several years. He was always a pleasure to deal with. He is a very compassionate and reliable doctor. Now that Gary runs...,Uo95xcYmCJ0-dNMSzimniA
14,2015-05-10 15:55:21,5,"He is one of the most outstanding physicians that I have interacted with. He is friendly, unassuming, thorough, helpful, always available to answer...",Uo95xcYmCJ0-dNMSzimniA
15,2018-06-02 09:36:28,5,This was by far the best doctors visit in a while.First I showed up about an hour early and they took me right in.  The 2 ladies at the feont desk were...,cbXwIlorS3giQeajfy2mGA
16,2018-08-14 01:05:08,5,We moved out of state thus we don't see Dr Gold anymore. Our baby's primary pediatrician became unavailable for a few months. We had to see Dr. Gold and...,cbXwIlorS3giQeajfy2mGA
17,2017-09-26 06:50:48,5,"Dr. Gold has been my primary care doctor for around a year, ever since Dr. McCann switched focus to pediatrics.  So far, I am totally happy with Dr. Gold -...",cbXwIlorS3giQeajfy2mGA
18,2018-11-02 12:13:48,5,"We love this place. Wonderful, comprehensive, kind and caring doctor. Not an alarmist and very tuned into the kids' needs. Parking is convenient, sick...",lrJP6SvoWDESzDfTMeBV5Q
19,2018-08-09 13:01:14,1,"My child has never forgotten that visit and remembers the experience by screaming every time he went to their office, so decided to take him to another Dr...",lrJP6SvoWDESzDfTMeBV5Q
20,2018-08-14 00:49:22,5,We moved out of state thus we don't come here anymore. We always loved Dr McCann's office. She was always so friendly patient and understanding. We were...,lrJP6SvoWDESzDfTMeBV5Q
21,2016-08-15 06:20:53,5,My husband and I recently moved out of the city and are so very sad to be leaving Dr. Maxouris's care.  I have been her patient for 8 years and when I had a...,5y_bITgCUNBHDUOJbGY2Aw
22,2014-06-27 08:11:40,5,"When our daughter was born in December 2012, we had no idea who to use as a pediatrician.  We looked at some reviews of doctors associated with Swedish...",5y_bITgCUNBHDUOJbGY2Aw
23,2010-12-22 13:46:04,5,"We've seen Dr. Maxouris three times in the two and a half weeks since our son was born. So far, we really, really like her. We appreciate her willingness to...",5y_bITgCUNBHDUOJbGY2Aw
24,2017-04-10 07:07:22,5,"Dr. Ruda, what can I say? I can sit here and type a thousand reasons why shes amazing. All I'm going to say is that when I first met her she was at a...",sfgxRAbV1Ognc-lQ20RLoA
25,2017-11-27 18:46:51,5,"Can't recommend Dr. Ruda enough.  She makes everything very clear and easy to understand.  As the other reviews have mentioned, her bedside manner...",sfgxRAbV1Ognc-lQ20RLoA
26,2016-01-25 21:33:48,5,Dr. Ruda is honestly the best physician I have ever visited. Her bed side manor is impeccable. You can tell that she really takes an interest in your care....,sfgxRAbV1Ognc-lQ20RLoA
27,2018-11-03 01:40:58,5,Dr. Reyes is hands down my favorite MD.  I love that she has a calming nature about her and I find her medical expertise to be on point as well.  I like...,GLFANkn2F5hysd2q-d_8gw
28,2018-05-24 12:19:52,5,"SUMMARY: If you're looking for a Primary Care Physician in Chicago, you really can't do better than Dr. Reyes.

TLDR: Yelp says that 5 stars means, ""Woohoo!...",GLFANkn2F5hysd2q-d_8gw
29,2018-04-15 13:28:03,5,"She is now my primary doctor and it is super convenient to be part of Rush University (access to messages, bills, appointments)",GLFANkn2F5hysd2q-d_8gw
30,2018-01-15 10:55:05,5,Dr Bilder is great!  She took the time to understand my concerns and developed a thorough treatment plan for my issues. All the staff is very friendly and...,VT9QUJL8jOVFwx5LQHxgRQ
31,2016-04-26 23:33:09,5,"Dr.Nandana Bhakta and Dr.Chandu Bhakta are NO LONGER in this clinic, they have been replaced by  Dr. Donald Woznica jr and Dr. Jacqueline Champlain. I have...",VT9QUJL8jOVFwx5LQHxgRQ
32,2015-05-25 10:11:53,5,Love going to Dr. Woznica my children are always excited to go see him even when they know that they might get shots. Considering we live about 35-40 min...,VT9QUJL8jOVFwx5LQHxgRQ
33,2019-02-07 12:34:31,1,"Terrible patient management. I waited over a month to be seen by Dr. Merok, only to get a call the week before saying that Dr Merok is moving on to do...",YLh7-5iri6hiTr5awunDNg
34,2018-11-19 11:56:21,5,"I came to this office for the first time today, and I can happily say the office as a whole is completely professional. The front desk is welcoming, the...",YLh7-5iri6hiTr5awunDNg
35,2017-12-08 13:06:55,4,After my initial hiccup with the insurance deal I've actually had a very good experience. Office is great. I really like my doctor. The patient portal has...,YLh7-5iri6hiTr5awunDNg
36,2018-05-19 07:40:52,5,"The highest compliment that one doctor can pay to another is to become their patient. As a physician myself, I wholeheartedly endorse Dr. Lindeman and the...",uo29DX3R7NwOg7OhZ-VMiA
37,2016-06-28 13:48:19,5,"I could not be happier! We have been going to this practice for 4 years.
Both Doctors take their time with you and answer any questions you may have.
Also...",uo29DX3R7NwOg7OhZ-VMiA
38,2016-01-21 13:17:56,5,I have been seeing Dr. Miller for over 30 years.  She is a great doctor and takes the time to really hear you and understand what is going on with you.  She...,uo29DX3R7NwOg7OhZ-VMiA
39,2017-08-24 14:46:02,5,Dr. Nesreen Hermes is an excellent medical professional with vast knowledge of various general medical and internal conditions.  Dr. Nesreen has impressed...,nBIFtToQ8cUv5dAzxKRK0g
40,2016-07-06 07:39:40,5,"I've been on a search for a good doctor for YEARS, but always seem to be disappointed so I bounce to urgent care centers, for the common cold or whatever,...",nBIFtToQ8cUv5dAzxKRK0g
41,2017-12-19 11:45:56,5,Dr. Daniel Murauski Is one of the top doctors I have ever get the chance to meet he help me with my lower back problems my stomach issues due to IBS he will...,nBIFtToQ8cUv5dAzxKRK0g
42,2008-01-30 15:14:44,5,"I used YELP for the purpose of getting a doctor.  And I got Dr. Berkowitz.  Proof that YELP is the shiz.    

But for real y'all, he is great.  I found the...",_zAfPpBDKLvOjNB_sGWnRA
43,2010-12-10 15:17:21,5,"I have been seeing Dr. Berkowitz for at least 15 years, approximately since he opened his practice in Bucktown, before I even had health insurance. Hands...",_zAfPpBDKLvOjNB_sGWnRA
44,2009-10-05 11:38:53,5,"Dr. Berkowitz saw me as a walk in when I thought I was dieing.  I did not die, but God was I wounded. Anyway, Dr.Locatelli was out and he fit me into his...",_zAfPpBDKLvOjNB_sGWnRA
45,2018-09-23 17:09:13,5,Dr. Gordon is absolutely wonderful! She made me feel completely comfortable for my visits and answered all my questions. She takes her time and I felt like...,pumSGydJ_utUjhnDRAcAtA
46,2017-12-08 14:18:06,5,"Amazing doctor with a great caring heart! She will always help and answer all questions. You dont have to wait hours for her to see you, if you have...",pumSGydJ_utUjhnDRAcAtA
47,2017-04-20 15:27:49,5,Dr. Gordon was able to get me in the day after I called for my first appt (due to a bad sinus and ear infection) and was extremely friendly and...,pumSGydJ_utUjhnDRAcAtA
48,2016-09-10 07:01:24,5,"How good is Dr K?  

We are moving to the east coast and we are sincerely considering flying back once a year to see him for our annual check ups!

When...",-uwYonMmioX7z93KB_TpWw
49,2018-02-21 19:47:52,5,"Dr. Konstantelos, 'Chris', is by far one of the most compassionate, understanding, and empathetic medical providers I have ever seen. He is an amazing...",-uwYonMmioX7z93KB_TpWw
50,2017-12-03 16:09:20,5,"My experience with Dr. Konstantelos, and with Northwestern Medical Group in general, has been outstanding. I've been a patient of Dr. K for approximately 6...",-uwYonMmioX7z93KB_TpWw
51,2018-05-27 09:59:59,5,I've been seeing Dr. Asim Saeed for over a year now. He's been my regular doctor for basic check ups and also had provided me with my medication. I've never...,4D3BF_7peAeKnv1nB8ouzw
52,2018-02-20 14:40:36,5,"Literally the best clinic I've been to. Staff was knowledgeable and went above and beyond to help me remove something from my eye. Staff was very friendly,...",4D3BF_7peAeKnv1nB8ouzw
53,2018-03-20 06:15:01,4,"So happy with the Doctors, great help and they have a pharmacy inside the clinic too ; affordable prices. Will totally come back if need too .",4D3BF_7peAeKnv1nB8ouzw
54,2016-03-04 14:56:22,5,"Having had several doctors over the years, I have been often annoyed at how difficult it was to get appointments, return phone calls,  and urgent care when...",QSCfp8kzwUYxPywQhd4hpA
55,2017-11-09 15:20:41,5,"A breath of fresh air! Not only is Dr. Lickerman a first class listener and diagnostician, but his manner is extremely soothing and matter of fact. He is...",QSCfp8kzwUYxPywQhd4hpA
56,2016-09-24 13:50:05,5,"This doctor is kind, compassionate, easy to get in touch with and SUPER smart.  He takes his time to go over everything with you and fully researches any...",QSCfp8kzwUYxPywQhd4hpA
57,2016-05-01 20:07:59,5,"Dr. Correa manages my numerous, complex needs while attempting to know me as a patient and a person. The first time I ever stepped into his office, he sat...",dAnX7rgLQCLEUeWLF_4s0Q
58,2014-12-16 06:08:39,5,I started going to Dr. Correa after we moved to the neighborhood and he is great! I can always get an appointment and he has been very helpful with my...,dAnX7rgLQCLEUeWLF_4s0Q
59,2016-03-03 15:40:22,5,"The best family doctor I had so far. He saved me from pneumonia, that other doctors overlooked as sinusitis or bronchitis. Thankful to him for my life!",dAnX7rgLQCLEUeWLF_4s0Q
60,2012-05-04 12:03:35,5,"Yes, they are always busy so you'll probably need to wait a bit. Outside of that they are great. Dr. Close is like having a family member as a doctor which...",92xOjALNlLHwiTO0VAYluQ
61,2013-08-19 09:16:55,1,I read the reviews and was a little hesitant but some were positive and he's a block from my house so I made an appointment.  The first experience was bad...,92xOjALNlLHwiTO0VAYluQ
62,2012-02-29 08:11:57,3,I have been a patient of Dr. Close's since he was getting into the industry back in 1992-93 at a Doc In the Box that used to be on Halstead just north of...,92xOjALNlLHwiTO0VAYluQ
63,2013-07-31 10:39:03,5,"I think I found the best internist, EVER.  Setting up an appointment was a breeze - the receptionist, Angie, is a sweetheart, and she was able to squeeze me...",VW3ALVRoIUGgXhQI429jaA
64,2018-01-12 08:04:08,5,Dr. Rachel O'Mara is OUTSTANDING in her field. I joined her Concierge practice last year and it was the BEST decision.  She is readily available to discuss...,VW3ALVRoIUGgXhQI429jaA
65,2017-09-05 09:13:28,5,So bummed Dr OMara is now a medical concierge service.  She stands high and above most medical practices. In a time where patients must wait 6 months for an...,VW3ALVRoIUGgXhQI429jaA
66,2018-12-08 20:54:04,5,I'm a 53 year old woman and I have had many doctors in my lifetime. Doctor De La Cruz is the first doctor that I have ever been to that genuinely cares...,0DMJMHF0zbLy8YOy3v_1cQ
67,2017-10-18 18:33:39,2,"I was very hopeful and then very disappointed. Like many doctors, you spend a ton money, alter your eating, buy supplements and then no results. I often...",0DMJMHF0zbLy8YOy3v_1cQ
68,2018-02-27 17:09:01,5,"Great doctor and a great friend.  Excellent bedside manner, and cares a lot about his patients.",0DMJMHF0zbLy8YOy3v_1cQ
69,2018-09-18 11:19:49,5,"Small community clinic.
I come here to get B-12 injections and also had a dermatology appt.
They have doctors and they also offer cosmetic type of services...",HKUtJ9kILMOe7thzg1JOTw
70,2019-02-11 13:13:57,1,Hold on ladies and gentlemen because Midwest health center is a roller coaster of hell. I decided to part ways after being recommended to a psychiatrist...,HKUtJ9kILMOe7thzg1JOTw
71,2018-12-31 05:56:32,1,I highly discourage anyone that has a serious problem or concern to NOT go to this doctor or office. I specifically mean Dr.Dymitriv. People think about it...,HKUtJ9kILMOe7thzg1JOTw
72,2018-10-30 08:30:15,5,"Everyone who works at One Medical, the front desk staff, the lab techs, the physicians, and the people who answer the phones, are always pleasant,...",Ky-TsBrxySAcfb5pTTQ1Lg
73,2018-10-16 22:08:09,5,Dr. Kapur and the front desk staff clearly care about the wellbeing of their patients. It's always a positive experience.,Ky-TsBrxySAcfb5pTTQ1Lg
74,2016-11-08 11:40:34,5,"I work in healthcare and, as a result, have been to countless primary care offices.  I am so impressed with One Medical - they get everything right.  To me,...",Ky-TsBrxySAcfb5pTTQ1Lg
75,2016-03-13 22:08:31,5,"Let me just say that this is a five-star review coming from someone who despises going to the doctor. After Dr. Ramirez left the NMPG Lakeview location, I...",ktK36K0ITdUruVMfhPwd-g
