,Date,Rating,Review,UID
0,2016-10-05 10:36:52,5,"Will Kimbrough is the best doctor I've ever had. His knowledge, diagnostic skills, and demeanor are superior. He's friendly, helpful with advice, never...",Vom0Y0OXcXM7TOBFo6HeMw
1,2012-01-06 14:25:45,5,Dr. Kimbrough and his awesome practice (One Medical Group) are like concierge service for your health. Super-long appointments to cover whatever you need to...,Vom0Y0OXcXM7TOBFo6HeMw
2,2014-05-14 10:56:59,5,"Dr. Kimbrough is the best. Plain and simply. He answers EVERY question you have, and you will never feel rushed. He is patient, knowledgeable, and just an...",Vom0Y0OXcXM7TOBFo6HeMw
3,2019-01-31 13:08:08,5,"I was pleasantly surprised with how cordial, down to earth and relatable Dr. Mendiratta was. I have not had a primary car doctor since I was a child but...",amzK90F50WnmvsfhwfMGCA
4,2018-09-21 11:30:36,5,I had my first ever appointment with comprehensive primary care today with Jennifer Hunter. I have never been so pleased with a first time...,amzK90F50WnmvsfhwfMGCA
5,2019-03-07 13:36:53,1,"Doctors are great, support staff is abysmal. Typical to have to call 3-5 times to get a prescription refilled. When you speak to a receptionist they often...",amzK90F50WnmvsfhwfMGCA
6,2018-12-23 10:37:15,5,Lisa Lindstrom is absolutely great. She was recommended to me by my former OB/GYN when I said that the GP I had had retired. She's direct but in a good...,EFdzRODgsq9bR-uhLlHfTQ
7,2019-01-16 00:30:13,5,"I am so grateful for the care I received from Lisa Lindstrom while I was living in the DC area.  She always took the time to listen, had a great network of...",EFdzRODgsq9bR-uhLlHfTQ
8,2018-09-12 07:56:16,5,"Linda is a wonderful primary care doctor. She really listens and provides thoughtful, sound, and common-sense advice. It is clear she knows her stuff. I've...",EFdzRODgsq9bR-uhLlHfTQ
9,2018-10-29 09:24:25,5,I've been a member of One Medical for over 4 years now.  It's one of the best decisions that I made for myself.  After years of not having a primary care...,xZnYh7rLaTxdZuK3DXT2RA
10,2018-05-23 13:13:52,5,"This has been the best decision I've ever made. Whenever I have to go to a medical appointment that isn't at One Medical, I immediately notice the...",xZnYh7rLaTxdZuK3DXT2RA
11,2018-11-29 19:08:43,5,Not that they need another great review but I love this place. It is SO easy to book appointments and they are on time 98% of the time (had to wait max 5...,xZnYh7rLaTxdZuK3DXT2RA
12,2018-05-18 07:46:39,5,"Normally I don't write yelp reviews or any sort of public reviews for that matter, however in this case I felt I had to make an exception.  During my search...",Hn9Cpxg2qqEvcgFvZ7ABmg
13,2018-04-07 16:41:17,5,"I am a new patient of Dr Popiel's and I am very happy that I found such a friendly, attentive and understanding Primary Care Doctor. I am new to the D.C...",Hn9Cpxg2qqEvcgFvZ7ABmg
14,2018-06-03 12:26:57,5,"I am a new patient of Dr. Popiel.  The doctor I was recently going to was a one person operation and he recently passed away, which meant I had to find a...",Hn9Cpxg2qqEvcgFvZ7ABmg
15,2018-01-29 17:01:27,5,"Dr. Hebou is absolutely amazing. I wish all doctors were like her! She always takes the time to listen, asks questions, is non-judgmental, and seems to...",kFjzqYWsUQfZt5OvRbUsOg
16,2018-02-08 10:41:08,5,This is such an amazing medical practice and I enjoy my visits each time! The staff is so helpful and polite and gives you clear directions throughout your...,kFjzqYWsUQfZt5OvRbUsOg
17,2016-11-14 03:49:02,5,Scheduled an appointment very easily. When I went in the front desk staff looked busy but were still exceptionally helpful and pleasant. The nurse took me...,kFjzqYWsUQfZt5OvRbUsOg
18,2019-01-10 11:30:46,5,"Dr. Kaufman is fantastic! Her bedside manner is impeccable - she actually listens to what you are saying, probes for more info, and is empathetic but also...",-ut746dKnGxKCpvW2fVqUA
19,2018-10-09 07:50:46,5,Dr. Kaufman has been my internal medicine physician for almost 30 years (hard to believe). She has always provided complete and empathetic care. Last year...,-ut746dKnGxKCpvW2fVqUA
20,2018-06-11 10:29:21,5,"I have been seeing Dr. Kaufman for about five years.  She is professional, smart, friendly, attentive even as she is looking at your record on her screen...",-ut746dKnGxKCpvW2fVqUA
21,2016-09-21 15:57:41,5,"Dr. Shalini Sitzmann is outstanding - the most thorough, empathetic, respectful doctor I've ever had. I do my research on doctors before choosing one and my...",dlp7Gehfo1NoeqJBna4o2g
22,2017-05-26 13:16:24,5,"After developing a problem that was causing much discomfort, I was sent from procedure to increasingly-invasive procedure with no end in sight, as well as...",dlp7Gehfo1NoeqJBna4o2g
23,2016-11-30 11:56:15,5,Dr. Sitzmann is thorough and patient and has amazing bed side manner!  She's been my Doc for 8 years and I am so sad she has left VH;C; but I wish her the...,dlp7Gehfo1NoeqJBna4o2g
24,2016-10-30 11:21:20,5,"Outstanding.  I've been with NWNP since 2008, and it continues to be the best medical experience I've had.  Erin treats me as a real human.  I get her for...",1liBs6dFoaeTns-kmzcc4g
25,2014-07-17 13:05:41,2,I really like the concept of Northwest Nurse Practitioners. I miss my primary care practice of NPs in California and was happy to find a similar model here...,1liBs6dFoaeTns-kmzcc4g
26,2016-07-01 14:16:56,5,"I found NWNP through Yelp, and I've had a great experience there as a patient for the past three years. I agree with a lot of what others said regarding...",1liBs6dFoaeTns-kmzcc4g
27,2018-12-02 04:36:31,5,"I found Dr. Brown through Yelp. I don't have a primary care doctor in the area, and was so impressed when Dr. Brown called me (at 6:45 a.m.) within twenty...",QsZpzsHVcRWJq4qmkjpdRg
28,2018-09-18 09:45:39,2,"I was quoted $400 and charged $675. $500 for the house call, $75 for travel, and $100 for medications. 


I was under the impression that $400 covered...",QsZpzsHVcRWJq4qmkjpdRg
29,2018-09-05 10:44:28,1,"I called them and was quoted a price of $450 for a Doctors visit. I agreed and they came but it was a nurse not not a doctor. Lie #1. 
They gave me some...",QsZpzsHVcRWJq4qmkjpdRg
