,Date,Rating,Review,UID
0,2018-12-28 23:20:13,5,Well I went to Dr. Horowitz on the basis of the unbearably glowing reviews on yelp. I was skeptical to say the least ... but omg if he isn't the best Doctor...,SZKNez5nh8LrqxVnVjnvpg
1,2018-12-28 15:29:33,5,"Most people have a favorite color, ice cream, food. But what about a favorite doctor...? Well I do! Dr. Horowitz is easily the best doctor that I'ver ever...",SZKNez5nh8LrqxVnVjnvpg
2,2018-12-11 13:38:50,5,"Dr.Horowitz is always very attentive, never rushes you, listens. Also, his billing is very easy and I was never overcharged or surprised by the bill unlike...",SZKNez5nh8LrqxVnVjnvpg
3,2019-03-15 07:11:58,5,I've been going to see Dr. Kashani ever since he was located in the American Apparel building. Every time I go in I feel like I'm being treated like a...,Cow0qgWeyY_sTdFBdJPc8w
4,2019-02-24 12:17:00,4,Dr. Kashani is awesome! I found him through my healthcare provider and expected average service but I absolutely loved him. His staff was friendly and fun...,Cow0qgWeyY_sTdFBdJPc8w
5,2019-01-14 23:05:25,5,Looking for a new primary care physician is the pits. I already hate going to the doctor because I find it tedious to regurgitate my medical history to...,Cow0qgWeyY_sTdFBdJPc8w
6,2018-10-11 15:04:14,5,Love this place. They are constantly busy but they don't make you wait a couple of hours like the other doctors and Dr. Park gives a shot and medicines for...,iLXkO6okPAqd35Z9EGu9TQ
7,2019-02-26 16:19:11,1,"Horrible bedside manner, really disrespectful doctor. I walked in to get treatment for my throat infection, and was ushered into his room. I told him about...",iLXkO6okPAqd35Z9EGu9TQ
8,2019-01-12 03:39:23,1,This is my go to place when I visited in LA. I always went to this place every time I visited in LA. The doctor was very kindly before but I really...,iLXkO6okPAqd35Z9EGu9TQ
9,2019-02-20 22:35:40,5,"Dr. Sari Eitches has really helped me to transform my life. I came to her after a frustrating run with the traditional health system, never getting enough...",pOw06NJ80XdXoQ2daXAhIA
10,2018-04-03 22:18:01,5,"As a psychologist, it's really important for me to be able to refer my clients to an internist I can trust - someone who values the mind-body connection as...",pOw06NJ80XdXoQ2daXAhIA
11,2018-08-24 16:57:24,5,Bedside manner is really important to me and I've never met a doctor (in any specialty) who is more patient and compassionate than Dr. Eitches....,pOw06NJ80XdXoQ2daXAhIA
12,2019-03-13 14:43:53,5,Finally a primary care doctor that actually cares and spends quality time with his patients! I really appreciate that Dr. V takes his time to perform...,IaYlUEEuQnhndU4w3bg2RA
13,2019-03-13 14:17:45,4,"I'm not a fan of the American healthcare system, as I think we should all get the best healthcare for free, but if you gotta go, Dr. Visnyei is pretty...",IaYlUEEuQnhndU4w3bg2RA
14,2019-02-13 14:05:16,5,I came across Dr. V on yelp after years of searching for a doctor who actually cares about their patients. I have never felt so comfortable or at ease in a...,IaYlUEEuQnhndU4w3bg2RA
15,2016-08-24 12:26:40,5,It's not often you have a medical visit that makes you feel that way. I had some stomach pains that needed to be checked out and was able to very easily...,FnmbPklioHQHUvfYeM9j7Q
16,2018-04-27 15:28:42,5,Dr Lalezari is a wonderful doctor who has a great bedside manner. I have a condition that put's me in the hospital almost every month. He has always been so...,FnmbPklioHQHUvfYeM9j7Q
17,2018-01-18 15:40:56,5,Let me start off by saying that this doctor has such a nice and gentle soul. He made me feel so comfortable during my checkup. I have searched many...,FnmbPklioHQHUvfYeM9j7Q
18,2018-10-11 09:13:37,5,"I came in to do an immigration health exam. Everyone here is so nice and down to earth. They did everything so efficiently and thoroughly, explained...",VwpEhS8DWrz9B1CyVPQRIw
19,2017-07-21 14:10:43,5,"I came in for the medical exam for my green card 
I was nervous because I don't speak English perfectly 
But every time I ask some questions they answered...",VwpEhS8DWrz9B1CyVPQRIw
20,2017-08-05 12:51:48,5,"AMAZING! I contacted Dr. Pan's office for my immigration physical. The staff was sweet, helpful and informative. I called a week prior to going in and a...",VwpEhS8DWrz9B1CyVPQRIw
21,2019-02-22 10:01:33,5,"The staff were awesome, warm & welcoming and Terry was incredibly knowledgeable and caring. If you're in search of a new PCP in the West Hollywood area,...",i8jBYhtCSj_9Ws2m-rzrgA
22,2019-01-18 08:52:02,1,"Sloppy customer service, poor management and no follow up.  Stay away!  No one calls you back, if you write the dr an email it takes days for him to respond...",i8jBYhtCSj_9Ws2m-rzrgA
23,2018-11-30 14:53:32,4,"I had written a review prior to this and wanted to quickly update.

Up top, parking is limited so allow yourself some time to potentially navigate that. It...",i8jBYhtCSj_9Ws2m-rzrgA
24,2019-02-18 14:42:16,5,My 100-year old grandfather was very sick. He refused to go to a doctor. I called Dr. Farzam at around 9 pm. He sent over one of his doctors to my...,uFmR0SsTTWCGG9_vmbsdxw
25,2018-09-20 12:17:52,5,"I was in severe ear pain 9/14/2018 from a work incident. I called House Call Dr. to be seen late Saturday evening. It was late, unsure of the surrounding...",uFmR0SsTTWCGG9_vmbsdxw
26,2019-02-26 08:52:17,5,"Dr. Farzam is amazing! He was able to treat me over the phone. Asked me detailed/in depth questions over the phone, was extremely helpful. Honestly it had...",uFmR0SsTTWCGG9_vmbsdxw
27,2018-07-16 18:10:17,5,Helen has an amazing bedside manner and is genuinely caring and upfront with you. I saw her for a consult and she went above and beyond to help me with...,YHiEeyR3fne-FXzNaSfLMA
28,2018-04-05 14:39:00,5,I recently had a lumpectomy and 4 lump nodes removed after I was diagnosed with Stage 2 breast cancer. Dr Kang was truly the most caring and loving doctor I...,YHiEeyR3fne-FXzNaSfLMA
29,2016-08-26 13:33:51,5,"Dr. Kang is beyond amazing! She is extremely thoughtful and caring!!! She made me feel very comfortable and answered all questions I had!!
Her staff...",YHiEeyR3fne-FXzNaSfLMA
30,2018-04-15 21:30:53,1,Bad at following up about blood test billing from the lab. Received a bill for a blood test however they never cleared it with the insurance company.,8qUuwq5Y3LDdMddA7xAR9w
31,2016-06-30 19:05:19,5,"Great experience! Helpful and courteous staff that takes the time to answer all your questions. Even though they are clearly busy, and booked waaayy out,...",8qUuwq5Y3LDdMddA7xAR9w
32,2018-01-09 12:18:23,5,"Patient, listens, and explains too well without too many medical terms. Great doctor.  Hope all doctors can be as trustworthy as Dr. In.",8qUuwq5Y3LDdMddA7xAR9w
33,2018-09-25 09:45:44,5,"""I'm sorry, is this a doctor's office or a spa? Who gave you permission?""

I'm speechless that this is my experience when visiting my doctor now. No one...",TNCb8ZKEe6rUj07DLxB6aA
34,2019-03-14 15:59:13,1,"Very poor experience with One Medical within one week of becoming a member.  Besides the nice office and the helpful woman at the front desk, the experience...",TNCb8ZKEe6rUj07DLxB6aA
35,2018-03-20 08:18:49,5,"Well worth the $199 concierge fee you pay to be able to see doctors at this medical group. It is near impossible to find a primary care doctor Downtown, but...",TNCb8ZKEe6rUj07DLxB6aA
36,2017-01-13 13:53:37,5,Excellent doctor- she cares a lot about her patients. Spent a good 20 minutes teaching me the correct way on how to conduct a proper self examination for...,O7iXVTYSQHhnTG2Hw9wNNw
37,2016-02-11 21:15:31,1,It's rare to see a doctor with such glowing reviews. And so for a long time - as I lived down the street - I tried to get an appointment with the revered...,O7iXVTYSQHhnTG2Hw9wNNw
38,2014-01-06 22:43:02,4,"EXCELLENT.  As soon Dr. Kawaratani walked in to see me about 3 minutes after I dressed into the gown, she apologized for being late (what the heck? I hadn't...",O7iXVTYSQHhnTG2Hw9wNNw
39,2019-03-14 14:04:03,5,"Dr Nazarian, the nurses, and staff are absolutely Heaven sent ! My family and I have been going to this office for years. We are grateful for the through...",yBXs2vvDkyVel8s2KIWH4g
40,2019-02-11 14:25:52,5,"I've been working with Dr. Nazarian a primary care physician in Beverly Hills for a few years now. 
I get my yearly physical exam with him, he's very...",yBXs2vvDkyVel8s2KIWH4g
41,2018-11-21 23:15:07,1,"Post follow up.

I came in on Tuesday to pick up my blood work.
I walked in and same 2 gals were there. It was awkward the minute I walked in as the same...",yBXs2vvDkyVel8s2KIWH4g
42,2017-08-18 08:24:14,5,"Dr. Joseph Defoto is a phenomenal part of my medical team - As my General Practitioner, Dr. Defoto has brought many complications to light - dealing with a...",AAAabxu_3RifTIZVSiMH2Q
43,2017-11-06 21:57:13,5,"I was super lucky to stumble on Dr. Defoto and this entire practice. So, hopefully this rating and review will help others. 
If you are part of the LGBTQ+...",AAAabxu_3RifTIZVSiMH2Q
44,2017-09-18 09:27:58,3,"He was my doctor for 15 years.  Very nice.  Good guy, but I had to stop going to him. 1) His office is a nightmare to deal with and he's either clueless or...",AAAabxu_3RifTIZVSiMH2Q
45,2018-10-29 12:23:46,5,Dr. Silao has been my PCP for a couple of years now and I couldn't be happier. He is very attentive and caring. The staff is also great my nurse Gloria is...,8fJsO10Ibiwt_aQunLcodg
46,2018-12-13 15:42:09,1,I get that Doctor Silao is busy but what's the point of having him as primary doctor when he doesn't even have time to meet me? I felt really sick so I...,8fJsO10Ibiwt_aQunLcodg
47,2018-10-19 13:40:51,5,Dr. Silao is popular for a reason. He's good! and he's friendly. I absolutely adore him and his office manager Susan (who is an absolute angel). It took me...,8fJsO10Ibiwt_aQunLcodg
48,2018-12-20 10:57:29,5,Dr. Peter Mikhail is the best doctor I've ever been to. He's genuinely cares about you. He talks to you like a friend and cares for you like a professional...,s9A1VrQRehisBcJCQd115w
49,2017-12-15 11:23:58,1,"The following review is not about Dr. Peter Mikhail, it is about Pacific Harbor Medical Group. 

This office gets new patients, run tests and charges them...",s9A1VrQRehisBcJCQd115w
50,2018-03-05 15:34:31,5,Dr. Mikhail is an amazing doctor. Me and my husband loves him and we highly recommend him.  He patiently listens and answers all our questions thoroughly!,s9A1VrQRehisBcJCQd115w
51,2019-02-01 09:37:30,5,"Rate and review
Angeles Medical Clinic, 204 E Pico Blvd, Los Angeles, CA 90015
 

Where do I begin! When I first moved to LA three years ago I had to begin...",gPFjec1ZS9D3CUiXLbM2CA
52,2019-02-01 16:53:47,2,"Came to Dr. Mobasser's practice becuase she is one of the highest reviewed doctors in dtla on yelp and zocdoc, but seriously wish I had not.

I have been to...",gPFjec1ZS9D3CUiXLbM2CA
53,2019-01-02 15:08:14,1,"Signed up via Zocdoc. Location is sketchy, two different receptionist helped me out giving two different perspectives on if I needed to sign the arbitration...",gPFjec1ZS9D3CUiXLbM2CA
54,2018-09-18 13:32:32,5,"Let me start by saying WOW! Good doctors are soooooo hard to find!!!
Dr. O is out of this world!!!  My heart, mind, soul and body felt safe and happy. She...",_FLVFRfes0NFORSxwP0WGg
55,2017-09-09 20:27:50,5,"Dr. Azinge-Obasi has been my personal physician since 2004 and although I have moved out of state, I still consult with her when I'm back in LA. She is such...",_FLVFRfes0NFORSxwP0WGg
56,2016-02-26 12:03:32,5,"I first went to this medical center in the 90s. When I left to complete my doctorate on the east coast and stayed away for 8 years, I always wished I could...",_FLVFRfes0NFORSxwP0WGg
57,2017-09-26 09:00:07,5,I finally decided at the age of 40 to grow up and look for a permanent primary care physician. Dr. Uyeki's reviews were exactly what I needed to see: that...,pyE_xIHG0wgK1dCBoLdjdw
58,2019-02-15 15:09:39,3,Dr. Uyeki does not take United Health Care Insurance anymore even though UHC's website for 2019 says that he is in Network for 2019.  The Dr. says that they...,pyE_xIHG0wgK1dCBoLdjdw
59,2017-08-30 10:14:25,5,One of the most attentive and personable doctors I've seen. The entire office is incredibly friendly and they do a great job at making you feel comfortable...,pyE_xIHG0wgK1dCBoLdjdw
60,2019-01-11 18:37:45,5,"Went in to urgent care and met Dr.Mike and all I can say is what a professional knowledgeable person.
The staff is great and they greet you with respect and...",04hN7FzZnTCVAsidjc-kwA
61,2018-12-18 12:45:49,5,I'm not a big fan of clinics and going to a doctor as soon as I feel like somethings wrong with my body or I need a prescription until I found this little...,04hN7FzZnTCVAsidjc-kwA
62,2018-10-07 02:49:00,5,"**I WROTE AN UPDATE DOWN BELOW THIS REVIEW**

Sometimes, I'm mind-boggled how this clinic still has five stars on this site--it must be the clinic who goes...",04hN7FzZnTCVAsidjc-kwA
63,2017-01-18 17:03:49,5,Dr. Ronald Sue is THE most wonderful doctor who has ever cared for me.  He has been our doctor for over 10 years and i am so grateful for him.  Dr. Sue is...,t2e2VuGJ28Fjt3IDZaBtjw
64,2016-12-30 15:06:20,5,"This is my first review on Yelp and I felt compelled to write it just because Dr. Sue is overwhelmingly professional, competent and extremely focused on my...",t2e2VuGJ28Fjt3IDZaBtjw
65,2017-05-03 11:10:32,5,MY HERO!  He is simply the best.  An incredible doctor and a beautiful soul.  Dr. Sue has been my doctor since 2002 and I just can't say enough good things....,t2e2VuGJ28Fjt3IDZaBtjw
66,2018-03-23 08:00:55,5,"Good Day Med Spa of Doctor Badalova.
I am not a fan of any procedures, thinking that natural look is better than something that will change your look. It...",oIktTa-m2_ZkPdJuBvIYBg
67,2018-03-23 12:21:43,5,"Dr. Badalova is my doctor for the last 4 years. Now not only I see her , but my dad, my husband and our daughter. She is highly qualified and when she...",oIktTa-m2_ZkPdJuBvIYBg
68,2018-01-19 17:53:23,5,Thank you  Dr Yelena. My frown lines look great. Dr Yelena is very thorough in her consultations and she has a wonderful staff. I would totally recommend...,oIktTa-m2_ZkPdJuBvIYBg
69,2007-10-23 22:52:28,5,"Shirley Uy (her last name is pronounced ""wee"") is very personable, very cute, and everytime I go in for a physical, we chat like old friends. In addition,...",-QvHxLsJvRhKOOWrNk8sPA
